track_id,track_name,track_artists
1veHwv1HPwzOvlhs5jPxeP,blame's on me,Alexander Stewart
2lfKa3eVovQUNoPlxb0dwi,"Aaj Ke Baad (From ""Satyaprem Ki Katha"")","Manan Bhardwaj,Tulsi Kumar"
5keXeMrCGBYXpJYQ0FFqjK,Forever and Ever and Always,Ryan Mack
0YxKKO272sacGBJKjf6FnB,Saari Duniya Jalaa Denge,"Jaani,B Praak"
2cz4qH4fCauVA93JHkUMad,"Le Aaunga (From ""Satyaprem Ki Katha"")","Tanishk Bagchi,Arijit Singh"
7c6ULNGXJZ0Wf7voEUEcKu,Kudmayi (Film Version),"Shahid Mallya,Amitabh Bhattacharya"
02wf1NAQdIpe5S1NJYPwvB,Aise Kyun - Ghazal Version,"Rekha Bhardwaj,Anurag Saikia,Raj Shekhar,Mismatched - Cast"
6ErCfbbI9BG4bK2djjKUvP,i wish you cheated,Alexander Stewart
4EAxNKJQEIIcivG82cU5LM,"Oonchi Oonchi Deewarein (From ""Yaariyan 2"")","Manan Bhardwaj,Arijit Singh"
5LSAafg2oH9YPgf3EG17iw,Khalasi | Coke Studio Bharat,"Aditya Gadhvi,Achint"
1OBK4DltPHWoeilauCyckU,Sky is the Limit,Mark Ambor
2Jz8ughkZa9o2rHhNq8hOw,"Sun Sajni (From ""Satyaprem Ki Katha"")","Meet Bros.,Parampara Tandon,Piyush Mehroliyaa"
4d2ZJ9W7dkQuITwUCTuD5n,never knew a heart could break itself,Zach Hood
1eZ6nPXT1ovpBhVxYKRtaz,"Zindagi Tere Naam (From ""Yodha"")","Vishal Mishra,Kaushal Kishore"
0czcoKJbJt08NqKrvSbbz7,"O Bedardeya (From ""Tu Jhoothi Main Makkaar"")","Pritam,Arijit Singh,Amitabh Bhattacharya"
0loZn1c5heXie7OAtvK6nH,Humnava Mere,"Jubin Nautiyal,Rocky - Shiv"
37ggbGIS7Dv3WSCeKHcuXo,Khairiyat,"Mithoon,Arijit Singh,Sayeed Quadri"
1ei3hzQmrgealgRKFxIcWn,In The Stars,Benson Boone
1r27BKhp7yzevrOhHEncOk,Breathless Hanuman Chalisa,Shankar Mahadevan
6pXp6OFlxrA0FJyzNw4QID,"Dhoonde Akhiyaan - From ""Jabariya Jodi""","Yasser Desai,Altamash Faridi,Rashmi Virag"
3FbZoPzEaUBOD84l1FwFEH,Mujhe Peene Do,Darshan Raval
4aSdNAVI0okQEhbV5V2j3T,take it back,Jessica Baio
3eSm4iAkLsn3BeggfiQOH9,"Kaise Ab Kahein - From ""Gutar Gu""","Gaurav Chatterji,Aasa Singh,Hansika Pareek,Hrishi Giridhar,Pratik Gangavane"
6xxRs4KZDGhibyCUiAiXmn,someday,Jessica Baio
6gSZX6W69nGvEBzlvfvvz2,She's Somebody's Daughter (The Wedding Version),Drew Baldridge
00ake6KfnzbZ2MaRLGqsyX,"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")","Pritam,Arijit Singh,Shreya Ghoshal,Amitabh Bhattacharya"
4ewsDZVLKV21ohOX35tGua,"Saavariya - From ""Aum Mangalam Singlem""","Varun Jain,Niren Bhatt,Sachin-Jigar"
0NvGVd87SYZnryTcfQPKUO,Kali Kali Zulfon Ke,Madhur Sharma
2ncqKdTj6dz7tWoTMMrAtq,Mahiye Jinna Sohna,Darshan Raval
7Ky9U9iHjGBiRax3joCRDS,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar,Arijit Singh,Amitabha Bhattacharya"
